family,fold,AUPRC,AUROC
dipole_prop,1,0.8211274467678643,0.888045540796964
dipole_prop,2,0.7513131676121539,0.8382352941176472
dipole_prop,3,0.6692608214066084,0.8294117647058823
dipole_prop,4,0.5602782944534862,0.7617647058823529
dipole_prop,5,0.6880289848243336,0.8313725490196078
sigma_profile,1,0.5126269743567384,0.5882352941176471
sigma_profile,2,0.7257658014051875,0.8450980392156863
sigma_profile,3,0.5715183774819701,0.7470588235294118
sigma_profile,4,0.6411986276715749,0.7392156862745098
sigma_profile,5,0.608778920933989,0.7647058823529411
graphmol_conf0,1,0.8426453348279974,0.8975332068311196
graphmol_conf0,2,0.9428142372224785,0.9647058823529412
graphmol_conf0,3,0.882791391614921,0.9235294117647059
graphmol_conf0,4,0.7623087561712328,0.8745098039215686
graphmol_conf0,5,0.7949996889096976,0.8666666666666667
graphmol_boltzmann,1,0.8272931188178867,0.8956356736242885
graphmol_boltzmann,2,0.8292999864216402,0.9058823529411765
graphmol_boltzmann,3,0.8367334149811207,0.9058823529411765
graphmol_boltzmann,4,0.7795265729378603,0.8901960784313725
graphmol_boltzmann,5,0.8420785368472493,0.9058823529411765
graphmol_dipole,1,0.8673180808251142,0.9146110056925997
graphmol_dipole,2,0.8757713859782462,0.9235294117647059
graphmol_dipole,3,0.851545942481703,0.9196078431372549
graphmol_dipole,4,0.8297512284566335,0.8980392156862745
graphmol_dipole,5,0.9275770052624273,0.9549019607843137
